"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"592","Reid Boucher","N.J","C","39","0.016666666666667","0.00042735042735043","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"593","Rocco Grimaldi","FLA","C","20","0.3","0.015","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"594","Scott Mayfield","NYI","D","6","8.4","1.4","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.29","0","0","-"
"595","Tomas Jurco","DET","L","44","1.3166666666667","0.029924242424242","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"596","Adam Clendening","EDM, PIT","D","29","0.13333333333333","0.0045977011494253","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"597","Boone Jenner","CBJ","C","82","17.916666666667","0.21849593495935","3.35","0","0","0","3.35","100.00","3.35","100.00","0.88","10.05","10.05","10.05","3.35","0","0","6.7","3.35","3.35","0","0","0","0","10.05","0","3.35","3.35","13.4","13.4","167.44"
"598","Alex Khokhlachev","BOS","C","5","0.033333333333333","0.0066666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"599","Dmitrij Jaskin","STL","R","65","0.38333333333333","0.0058974358974359","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","156.52","0","0","-"
"600","Victor Rask","CAR","C","80","16.733333333333","0.20916666666667","0","0","0","0","0","-","3.59","0.00","0.26","7.17","3.59","3.59","0","3.59","0","0","0","0","0","0","0","0","0","0","0","3.59","10.76","14.34","153.67"
"602","Markus Granlund","CGY, VAN","C","47","54.633333333333","1.1624113475177","1.1","1.1","1.1","0","2.2","100.00","6.59","16.67","0.63","8.79","7.69","5.49","1.1","2.2","1.1","4.39","2.2","2.2","0","0","0","3.29","2.2","0","1.1","4.39","9.88","8.79","58.14"
"603","Joel Edmundson","STL","D","67","73.9","1.1029850746269","0","0","0","0","0","0.00","0","-","0","0.81","0","0","0","0","0","1.62","0.81","0.81","0","0","1.62","2.44","0","6.5","0","8.93","0","0","-"
"604","Matt Nieto","S.J","L","67","81.166666666667","1.2114427860697","1.48","0","0","0","1.48","100.00","3.7","40.00","0.51","5.91","5.17","3.7","1.48","2.22","0","1.48","0.74","0.74","0","0","0","2.96","1.48","0.74","3.7","2.22","0.74","2.22","18.48"
"605","Xavier Ouellet","DET","D","5","5.65","1.13","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.62","0","0","0","0","-"
"607","William Karlsson","CBJ","C","81","172.1","2.1246913580247","0","0","0","0","0","0.00","1.05","0.00","0.11","2.09","2.09","1.05","0.7","0","0","0","0","0","0","0","1.05","1.05","3.49","0.7","0.35","4.18","21.62","27.89","15.22"
"608","Scott Harrington","TOR","D","15","10.8","0.72","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.11","0","0","0","0","-"
"609","Tyler Wotherspoon","CGY","D","11","12.716666666667","1.1560606060606","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.72","0","4.72","0","0","-"
