"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"135","Trevor Daley","DAL","D","68","187.05","6","6","4","2","12","54.55","32","18.75","2.79","62","41","25","5","1","2","4","2","2","0","0","0","4","3","0","7","5","0","0","-"
"220","Blake Wheeler","WPG","R","79","255.98333333333","2","10","5","5","12","42.86","39","5.13","6.58","72","62","48","29","2","4","0","0","0","0","0","2","11","1","3","15","1","4","3","57.14"
"355","Mathieu Perreault","WPG","C","62","187.95","5","7","6","1","12","60.00","31","16.13","4.32","57","40","33","15","0","6","2","1","1","0","0","2","4","3","1","10","1","51","46","52.58"
"367","Teddy Purcell","EDM","L","82","186.06666666667","5","7","6","1","12","54.55","21","23.81","3.6","39","32","28","13","1","2","0","0","0","0","0","1","6","1","0","3","1","0","0","-"
"383","Sam Gagner","ARI","C","81","182.78333333333","6","6","5","1","12","57.14","32","18.75","4.63","56","47","30","13","0","5","2","1","1","0","0","0","5","0","3","6","0","64","51","55.65"
"409","Ryan McDonagh","NYR","D","71","164.15","3","9","4","5","12","70.59","39","7.69","3.5","66","50","22","5","1","6","2","1","1","0","0","1","5","7","5","7","5","0","0","-"
"431","Alex Pietrangelo","STL","D","81","197.23333333333","1","11","6","5","12","60.00","42","2.38","3.6","66","57","18","5","0","4","0","0","0","0","0","0","3","3","0","6","2","0","0","-"
"436","Mikkel Boedker","ARI","L","45","127.63333333333","3","9","4","5","12","66.67","16","18.75","2.15","31","22","16","6","0","1","0","0","0","0","0","1","3","1","4","3","0","0","0","-"
"451","Justin Schultz","EDM","D","81","226.7","0","12","7","5","12","50.00","27","0.00","2.76","77","45","16","3","0","5","0","0","0","0","0","0","5","5","2","2","2","0","0","-"
"503","Ryan O'Reilly","COL","C","82","216.81666666667","2","10","6","4","12","46.15","26","7.69","5.41","49","40","38","20","0","1","0","0","0","0","0","0","2","4","3","3","3","116","90","56.31"
"523","Nick Leddy","NYI","D","78","191.36666666667","1","11","4","7","12","63.16","20","5.00","1.73","47","30","16","1","0","4","4","2","2","0","0","0","10","4","4","6","2","0","0","-"
"599","Nick Bjugstad","FLA","C","72","167.13333333333","7","5","3","2","12","70.59","42","16.67","5.25","67","57","34","11","0","4","4","2","2","0","0","0","5","0","8","6","3","77","63","55.00"
"631","John Klingberg","DAL","D","65","191.51666666667","2","10","6","4","12","48.00","27","7.41","2.5","57","38","20","4","0","4","2","1","1","0","0","1","9","2","0","8","2","0","0","-"
"689","Jonathan Huberdeau","FLA","L","79","184.6","0","12","8","4","12","63.16","29","0.00","3.42","34","32","21","11","0","4","4","2","2","0","0","1","5","0","1","8","0","0","3","0.00"
"723","Alex Galchenyuk","MTL","C","80","177.96666666667","3","9","3","6","12","57.14","31","9.68","5.44","58","45","37","22","0","8","4","2","2","0","0","0","1","0","0","13","0","13","13","50.00"
"1","Jaromir Jagr","FLA, N.J","R","77","182.05","4","7","5","2","11","45.83","27","14.81","3.73","48","33","34","12","2","0","2","1","1","0","0","1","8","2","0","6","0","0","0","-"
