"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"317","Scott Mayfield","NYI","D","67","4.7166666666667","0.070398009950249","12.72","76.33","14.29","12.72","50.88","20.00","12.72","38.16","25.00","0","0","-","1.11","1.63","40.67","12.72","25.44","33.33","0","0","-","0","0","-","16.96","33.92","33.33","0","0","-","0","36.75","0.00","0","0","-","0.00","100.00","1.000","12.72","25.44","0","165.37","100.00","38.16","38.16","0","100.00"
"753","Max Veronneau","OTT","R","4","0.81666666666667","0.20416666666667","146.94","73.47","66.67","146.94","73.47","66.67","73.47","73.47","50.00","0","0","-","8.69","0.06","99.33","73.47","0","100.00","0","0","-","0","0","-","97.96","0","100.00","0","0","-","106.12","0","100.00","0","0","-","0.00","100.00","1.000","0","73.47","0","0","-","0","73.47","73.47","0.00"
"648","Kevin Rooney","N.J","C","49","2.6333333333333","0.053741496598639","22.78","68.35","25.00","22.78","68.35","25.00","22.78","45.57","33.33","0","0","-","2.86","3.75","43.24","22.78","45.57","33.33","0","22.78","0.00","0","0","-","30.38","30.38","50.00","0","0","-","0","0","-","0","0","-","0.00","100.00","1.000","68.35","0","0","227.85","100.00","91.14","0","0","100.00"
"411","Cedric Paquette","T.B","C","61","5.2833333333333","0.086612021857924","56.78","68.14","45.45","34.07","68.14","33.33","34.07","68.14","33.33","0","0","-","1.94","1.74","52.76","22.71","11.36","66.67","11.36","0","100.00","0","0","-","15.14","15.14","50.00","0","0","-","49.21","49.21","50.00","0","0","-","0.00","100.00","1.000","22.71","34.07","0","136.28","100.00","22.71","34.07","0","100.00"
"720","Urho Vaakanainen","BOS","D","5","1.7666666666667","0.35333333333333","0","67.92","0.00","0","67.92","0.00","0","33.96","0.00","0","0","-","0","4.34","0.00","0","33.96","0.00","0","33.96","0.00","0","0","-","0","0","-","0","0","-","0","49.06","0.00","0","0","-","-","100.00","1.00","0","33.96","0","67.92","-","0","33.96","0","-"
"6","Deryk Engelland","VGK","D","49","0.9","0.018367346938776","66.67","66.67","50.00","66.67","66.67","50.00","66.67","66.67","50.00","0","0","-","0.01","6.36","0.09","0","66.67","0.00","0","0","-","0","0","-","0","88.89","0.00","0","0","-","0","0","-","0","0","-","0.00","100.00","1.000","0","66.67","0","400","-","0","66.67","0","-"
"600","Nicolas Roy","VGK","C","28","2.7166666666667","0.09702380952381","132.52","66.26","66.67","110.43","66.26","62.50","88.34","66.26","57.14","22.09","0","100.00","7.6","2.59","74.57","44.17","22.09","66.67","22.09","22.09","50.00","22.09","0","100.00","29.45","0","100.00","0","0","-","127.61","0","100.00","0","0","-","25.00","100.00","1.250","44.17","22.09","0","198.77","100.00","110.43","66.26","0","100.00"
"444","John Hayden","N.J","C","43","3.6666666666667","0.085271317829457","32.73","65.45","33.33","32.73","65.45","33.33","16.36","32.73","33.33","0","0","-","2.75","3.88","41.46","16.36","49.09","25.00","0","16.36","0.00","0","0","-","21.82","43.64","33.33","0","0","-","23.64","0","100.00","0","0","-","0.00","100.00","1.000","32.73","16.36","0","147.27","100.00","65.45","16.36","0","100.00"
"266","Mark Pysyk","FLA","D","58","2.8","0.048275862068966","21.43","64.29","25.00","0","64.29","0.00","0","64.29","0.00","0","0","-","0","1.35","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","30.95","92.86","25.00","0","0","-","-","100.00","1.00","64.29","0","0","128.57","100.00","64.29","0","0","100.00"
"661","Carl Grundstrom","L.A","R","13","5.6833333333333","0.43717948717949","21.11","63.34","25.00","10.56","63.34","14.29","0","63.34","0.00","0","0","-","0.4","2.26","15.13","10.56","10.56","50.00","0","0","-","0","0","-","14.08","14.08","50.00","0","0","-","15.25","30.5","33.33","0","0","-","-","100.00","1.00","10.56","0","0","63.34","100.00","21.11","10.56","10.56","66.67"
