"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"460","Kevin Fiala","MIN","L","50","17.566666666667","0","0","0","0","0","-","0","-","0.13","4","3","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","2","0","100.00"
"461","Jakub Vrana","DET, WSH","L","50","1.35","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"462","Dylan Larkin","DET","C","44","14.85","0","0","0","0","0","-","0","-","0.08","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","14","46.15"
"463","Sonny Milano","ANA","L","6","0.13333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"464","Travis Sanheim","PHI","D","55","114.1","0","0","0","0","0","0.00","4","0.00","0.01","4","4","0","0","0","0","0","0","0","0","0","1","5","1","5","0","13","0","0","-"
"465","Alex Tuch","VGK","R","55","41.1","0","0","0","0","0","-","5","0.00","0.31","6","6","3","0","0","0","0","0","0","0","0","0","2","2","0","0","2","1","1","50.00"
"466","Tony DeAngelo","NYR","D","6","1.1","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"467","Nick Schmaltz","ARI","C","52","1.5166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","100.00"
"468","Robby Fabbri","DET","C","30","2.3166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"469","Kasperi Kapanen","PIT","R","40","2.2","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"470","Jared McCann","PIT","C, L","43","1.55","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","50.00"
"471","David Pastrnak","BOS","R","48","2.4666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-"
"473","Brendan Lemieux","L.A, NYR","L","49","1.25","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","-"
"474","Jayce Hawryluk","VAN","C","30","0.38333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"475","Ivan Barbashev","STL","C","38","74.7","0","0","0","0","0","-","2","0.00","0.18","3","3","3","0","0","0","0","0","0","0","0","2","4","2","4","1","1","11","22","33.33"
"476","Marcus Pettersson","PIT","D","47","34.416666666667","0","0","0","0","0","-","1","0.00","0","1","1","0","0","0","0","0","0","0","0","0","0","0","2","4","1","5","0","0","-"
"477","Ryan MacInnis","CBJ","C","16","0.65","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"478","Nicolas Aube-Kubel","PHI","R","50","2.2333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-"
"480","Ryan Donato","S.J","C","50","0.45","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"481","Christian Dvorak","ARI","C","56","108.26666666667","0","0","0","0","0","-","2","0.00","0.35","3","3","2","1","0","0","0","0","0","0","0","1","2","2","3","2","8","86","88","49.43"
"483","Warren Foegele","CAR","L","53","54.333333333333","0","0","0","0","0","-","4","0.00","0.37","5","4","2","1","1","0","2","1","1","0","0","1","2","2","0","1","3","4","3","57.14"
"484","Brayden Point","T.B","C","56","5.5833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","33.33"
"485","Louie Belpedio","MIN","D","1","2.1333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"486","Jake Walman","STL","D","24","25.483333333333","0","0","0","0","0","0.00","1","0.00","0","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","3","0","0","-"
"487","Michael Amadio","L.A, OTT","C","25","2.85","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0.00"
"488","William Lagesson","EDM","D","19","23.2","0","0","0","0","0","-","2","0.00","0","2","2","0","0","1","0","0","0","0","0","0","0","0","2","3","0","4","0","0","-"
"490","Devon Toews","COL","D","53","163.53333333333","0","0","0","0","0","0.00","10","0.00","0.25","11","10","2","1","2","0","0","0","0","0","0","4","3","6","5","0","25","0","0","-"
"491","Viktor Arvidsson","NSH","R","49","2.8833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.00"
"492","Sam Lafferty","PIT","C, R","34","5.0333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","1","1","3","25.00"
"493","Danton Heinen","ANA","L","43","54.833333333333","0","0","0","0","0","-","6","0.00","0.6","7","7","5","4","1","0","0","0","0","0","0","1","3","3","0","2","3","0","2","0.00"
"494","Michael Bunting","ARI","L","21","0.46666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"495","Ben Thomas","T.B","D","5","2.9166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","-"
"496","Gustav Forsling","FLA","D","43","107.71666666667","0","0","0","0","0","0.00","2","0.00","0.05","4","3","1","0","1","0","0","0","0","0","0","0","4","1","1","3","11","0","0","-"
"497","Clark Bishop","OTT","C","13","4.3833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0.00"
"498","Dakota Joshua","STL","C","12","2.2","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","100.00"
