"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"512","Quinton Howden","FLA","C","58","6.3333333333333","0.10919540229885","0","56.84","0.00","0","37.89","0.00","0","28.42","0.00","0","0","-","0","2.62","0.00","0","18.95","0.00","0","9.47","0.00","0","0","-","0","12.63","0.00","0","0","-","0","54.74","0.00","0","0","-","-","100.00","1.00","0","9.47","37.89","66.32","0.00","0","9.47","37.89","0.00"
"769","Jared McCann","VAN","C","69","2.1833333333333","0.031642512077295","0","54.96","0.00","0","54.96","0.00","0","54.96","0.00","0","0","-","0","2.2","0.00","0","54.96","0.00","0","0","-","0","0","-","0","73.28","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","27.48","0","54.96","82.44","33.33","27.48","0","82.44","25.00"
"23","Scott Gomez","OTT, STL","C","34","1.1","0.032352941176471","0","54.55","0.00","0","54.55","0.00","0","54.55","0.00","0","0","-","0","5.72","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","78.79","0.00","0","0","-","-","100.00","1.00","0","0","0","109.09","-","0","0","0","-"
"682","Damon Severson","N.J","D","72","22.233333333333","0.3087962962963","16.19","53.97","23.08","13.49","35.08","27.78","10.79","29.69","26.67","0","5.4","0.00","0.87","3.53","19.71","8.1","32.38","20.00","5.4","8.1","40.00","0","2.7","0.00","3.6","32.38","10.00","0","3.6","0.00","11.69","27.29","30.00","0","0","-","0.00","81.82","0.818","2.7","5.4","10.79","97.15","20.00","5.4","8.1","16.19","25.00"
"635","Turner Elson","CGY","C","1","3.35","3.35","0","53.73","0.00","0","17.91","0.00","0","17.91","0.00","0","0","-","0","1.21","0.00","0","17.91","0.00","0","0","-","0","0","-","0","23.88","0.00","0","0","-","0","51.74","0.00","0","0","-","-","100.00","1.00","0","17.91","35.82","53.73","0.00","17.91","17.91","35.82","33.33"
"390","Brent Regner","FLA","D","7","2.2666666666667","0.32380952380952","26.47","52.94","33.33","26.47","52.94","33.33","26.47","52.94","33.33","0","0","-","0.88","2.98","22.70","26.47","0","100.00","0","0","-","0","0","-","35.29","0","100.00","0","0","-","0","76.47","0.00","0","0","-","0.00","100.00","1.000","0","0","0","79.41","-","52.94","0","26.47","66.67"
"416","Kyle Clifford","L.A","L","56","5.6833333333333","0.1014880952381","10.56","52.79","16.67","10.56","42.23","20.00","10.56","42.23","20.00","0","0","-","0.02","2.36","0.69","0","21.11","0.00","0","0","-","0","0","-","0","28.15","0.00","0","0","-","0","45.75","0.00","0","0","-","0.00","100.00","1.000","0","10.56","10.56","126.69","0.00","10.56","21.11","21.11","33.33"
"470","Anders Lee","NYI","L","80","2.3","0.02875","0","52.17","0.00","0","52.17","0.00","0","26.09","0.00","0","26.09","0.00","0","16.04","0.00","0","52.17","0.00","0","0","-","0","0","-","0","69.57","0.00","0","34.78","0.00","0","0","-","0","0","-","-","0.00","0.00","0","26.09","0","234.78","-","0","26.09","0","-"
"302","Tommy Cross","BOS","D","3","5.7833333333333","1.9277777777778","10.37","51.87","16.67","10.37","41.5","20.00","10.37","31.12","25.00","10.37","10.37","50.00","1.24","3.89","24.11","10.37","20.75","33.33","10.37","20.75","33.33","10.37","10.37","50.00","0","0","-","0","0","-","0","44.96","0.00","0","0","-","100.00","66.67","1.667","0","0","20.75","62.25","0.00","0","20.75","31.12","0.00"
"67","Carlo Colaiacovo","BUF","D","36","2.3166666666667","0.064351851851852","0","51.8","0.00","0","51.8","0.00","0","51.8","0.00","0","25.9","0.00","0","3.1","0.00","0","25.9","0.00","0","0","-","0","0","-","0","34.53","0.00","0","0","-","0","37.41","0.00","0","37.41","0.00","-","50.00","0.50","0","51.8","25.9","181.29","0.00","0","51.8","25.9","0.00"
