"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"780","Daniil Tarasov","S.J","R","5","35.95","7.19","51.74","48.4","51.67","43.39","36.72","54.17","30.04","25.03","54.55","3.34","0","100.00","2","1.05","65.54","26.7","11.68","69.57","11.68","3.34","77.78","0","0","-","20.03","11.13","64.29","4.45","0","100.00","28.93","45.8","38.71","0","0","-","11.11","100.00","1.111","13.35","28.37","13.35","58.41","50.00","23.37","35.05","18.36","56.00"
"360","Michael Frolik","WPG","R","82","1170.4","14.273170731707","57.98","48.34","54.53","40.6","35.22","53.55","30.19","25.99","53.74","2.46","2.36","51.06","2.46","2.1","54.01","26.76","23.33","53.43","10.1","9.69","51.04","1.54","1.44","51.72","22.21","18.18","54.99","0.82","0.82","50.00","37.47","29.03","56.35","0.37","0.22","62.50","8.15","90.93","0.991","11.43","15.84","8.36","43.27","57.77","19.94","23.02","17.28","53.58"
"583","Michael Latta","WSH","C","53","437.3","8.2509433962264","50.08","48.3","50.91","37.18","32.93","53.03","27.03","24.97","51.98","1.65","1.1","60.00","2.13","1.69","55.76","22.36","18.93","54.15","9.06","7.27","55.46","1.1","0.96","53.33","17.75","15.55","53.30","0.55","0.18","75.00","35.67","34.29","50.99","0.2","0","100.00","6.09","95.60","1.017","7.41","13.58","9.06","48.71","45.00","16.19","19.89","17.15","48.56"
"726","Nick Shore","L.A","C","34","352.8","10.376470588235","52.04","48.3","51.86","37.07","34.18","52.03","25.51","24.49","51.02","1.7","1.7","50.00","1.75","1.84","48.75","18.37","20.92","46.75","6.8","7.82","46.51","0.85","0.85","50.00","15.42","17.46","46.90","0","1.13","0.00","38.81","32.92","54.11","1.23","0","100.00","6.67","93.06","0.997","9.86","7.31","4.25","55.44","69.88","17.01","12.07","11.73","59.17"
"4","Patrik Elias","N.J","C","69","949.51666666667","13.761111111111","45.05","48.28","48.27","34.25","37.79","47.54","24.14","29.83","44.73","1.64","2.78","37.14","1.99","2.47","44.56","21.11","23.57","47.24","7.9","10.93","41.95","0.63","1.71","27.03","17.61","16.85","51.10","0.84","0.84","50.00","31.12","30.49","50.52","0.55","0.46","54.55","6.81","90.68","0.975","7.84","15.61","10.81","45.12","42.03","14.72","22.56","20.35","41.98"
"808","Derrick Pouliot","PIT","D","34","509.26666666667","14.978431372549","56.67","48.19","54.04","42.06","37.47","52.89","30.16","28.63","51.30","1.77","2.59","40.54","2.28","2.43","48.33","25.21","21.8","53.63","9.43","10.84","46.51","0.94","1.77","34.78","21.05","14.61","59.03","0.63","0.63","50.00","37.1","30.8","54.64","0.51","0.51","50.00","5.86","90.95","0.968","11.31","10.49","7.66","46.77","59.63","19.91","16.85","14.96","57.09"
"148","Sean Bergenheim","FLA, MIN","L","56","704.06666666667","12.572619047619","54.54","48.15","53.11","43.04","37.41","53.50","31.53","27.44","53.47","2.22","2.39","48.15","2.31","2.04","53.04","24.54","19.17","56.14","9.46","8.35","53.11","1.53","1.02","60.00","20.11","14.43","58.22","0.34","1.02","25.00","37.79","35.7","51.42","0.62","0.74","45.45","7.03","91.30","0.983","7.16","14.57","6.56","45.34","52.17","18.15","21.48","18.75","49.19"
"698","Mike Sislo","N.J","R","10","108.46666666667","10.846666666667","42.59","48.13","46.95","29.87","36.51","45.00","19.91","24.89","44.44","0.55","1.66","25.00","1.14","1.87","37.92","14.38","23.23","38.24","4.43","6.64","40.00","0","0.55","0.00","13.28","22.13","37.50","0","0.74","0.00","33.56","31.96","51.22","0.8","0.8","50.00","2.78","93.33","0.961","6.08","16.59","11.62","51.44","34.38","11.06","23.23","19.36","36.36"
"711","Dominik Uher","PIT","C","2","12.466666666667","6.2333333333333","33.69","48.13","41.18","19.25","28.88","40.00","14.44","19.25","42.86","0","4.81","0.00","0.59","1.9","23.58","9.63","24.06","28.57","0","9.63","0.00","0","0","-","12.83","19.25","40.00","0","6.42","0.00","34.76","27.81","55.56","0","0","-","0.00","75.00","0.750","4.81","9.63","4.81","67.38","50.00","4.81","9.63","9.63","33.33"
"842","Marko Dano","CBJ","C","35","452.93333333333","12.940952380952","57.23","48.09","54.34","43.19","37.89","53.27","33.51","28.48","54.06","3.44","1.85","65.00","2.8","2.1","57.21","28.35","20.8","57.68","13.64","7.55","64.38","1.99","0.66","75.00","19.61","17.66","52.61","0.71","0.53","57.14","35.21","34.44","50.55","1.34","1.15","53.85","10.28","93.49","1.038","9.41","14.31","9.67","43.72","49.31","15.9","20","19.87","44.44"
"120","Marek Zidlicky","DET, N.J","D","84","1526.1166666667","18.168055555556","48.4","48.08","50.16","36.37","37.35","49.33","26.42","28.43","48.17","1.93","2.04","48.51","2.18","2.31","48.46","23.83","22.02","51.97","9.32","8.73","51.63","1.02","1.3","44.07","19.34","17.72","52.19","0.94","0.68","58.06","31.35","32.54","49.07","0.28","0.23","55.56","7.29","92.81","1.001","10.5","13.21","7.82","46.71","57.30","21.11","21.07","16.43","56.23"
"652","Chris Wagner","ANA","C","9","74.883333333333","8.3203703703704","40.06","48.07","45.45","32.05","33.65","48.78","19.23","20.83","48.00","0.8","2.4","25.00","1.64","1.66","49.64","18.43","20.83","46.94","8.01","9.61","45.45","0.8","0.8","50.00","13.89","14.96","48.15","0","0","-","26.62","33.56","44.23","0","2.31","0.00","4.17","88.46","0.926","12.02","18.43","12.82","42.47","48.39","16.02","28.04","20.03","44.44"
"89","John-Michael Liles","CAR","D","57","960.68333333333","16.854093567251","59.27","48.03","55.24","43.53","35.54","55.06","30.04","25.04","54.54","1.75","2.25","43.75","2.37","2.1","52.99","25.98","21.55","54.66","9.87","8.06","55.05","0.94","1.12","45.45","21.48","17.99","54.43","0.75","0.83","47.37","41.14","33.02","55.47","0.27","0.54","33.33","5.82","91.02","0.968","9.81","11.93","7.12","50.53","57.93","18.49","17.36","15.3","54.71"
