"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"144","Zac Rinaldo","CGY","C","4","22.783333333333","5.6958333333333","60.57","52.67","53.49","42.14","39.5","51.61","26.34","31.6","45.45","0","2.63","0.00","1.78","1.59","52.87","26.34","21.07","55.56","5.27","0","100.00","0","0","-","28.09","28.09","50.00","0","0","-","45.65","45.65","50.00","0","3.8","0.00","0.00","91.67","0.917","5.27","10.53","2.63","79.01","66.67","13.17","13.17","2.63","83.33"
"82","Pat Maroon","T.B","L","55","542.55","9.8645454545455","45.67","52.64","46.46","33.95","39.37","46.30","24","27.87","46.27","2.76","2.43","53.19","2.12","2.24","48.71","24.77","27.65","47.26","10.06","10.4","49.19","1.66","1.22","57.69","19.61","23","46.02","0.88","1.33","40.00","27.16","32.11","45.82","0.64","0.16","80.00","11.52","91.27","1.028","12.39","15.15","5.75","46.45","68.29","17.58","20.9","11.83","59.77"
"818","Joe Veleno","DET","C","5","67.266666666667","13.453333333333","45.49","52.63","46.36","36.57","43.71","45.56","29.44","36.57","44.59","0","0","-","2.07","3.26","38.82","19.62","31.22","38.60","9.81","14.27","40.74","0","0","-","13.08","22.6","36.67","0","0","-","30.92","24.48","55.81","0","0","-","0.00","100.00","1.000","8.92","8.03","8.03","47.27","52.63","19.62","9.81","14.27","57.89"
"294","Ryan Nugent-Hopkins","EDM","C","52","761.7","14.648076923077","58.05","52.62","52.46","42.62","39.78","51.72","31.43","29.3","51.75","2.6","2.68","49.25","2.97","2.29","56.49","31.27","25.52","55.06","14.34","9.85","59.28","1.58","1.26","55.56","22.58","20.9","51.93","1.16","1.16","50.00","32.2","33.45","49.05","0","0.68","0.00","8.27","90.86","0.991","8.43","10.24","5.28","42.14","61.49","19.93","16.23","13.47","59.67"
"165","Calvin de Haan","CHI","D","43","715.06666666667","16.629457364341","51.27","52.61","49.35","37.34","39.02","48.90","28.61","29.7","49.06","2.01","3.44","36.92","2.25","2.43","48.06","24.25","26.93","47.38","8.64","10.82","44.40","0.92","2.27","28.95","20.81","21.48","49.21","0.78","1.01","43.75","32.97","30.42","52.01","0.48","0.48","50.00","7.04","88.42","0.955","6.29","11.58","8.56","46.9","42.37","17.12","17.79","19.13","47.22"
"226","Jeff Skinner","BUF","L","53","699.25","13.193396226415","51.57","52.6","49.51","40.16","41.53","49.16","27.89","29.26","48.80","1.8","2.57","41.18","2.31","2.53","47.76","24.37","24.37","50.00","10.73","8.75","55.07","1.12","0.94","54.17","18.19","20.82","46.63","0.8","1.03","43.75","35.32","36.69","49.05","0.12","0.99","11.11","6.46","91.20","0.977","9.78","11.84","8.15","46.25","54.55","17.33","15.19","16.22","51.66"
"365","Jaccob Slavin","CAR","D","52","1043.8166666667","20.073397435897","61.85","52.6","54.04","47.08","40.47","53.78","34.03","29.03","53.97","3.45","2.47","58.25","3.23","2.55","55.91","30.58","25.12","54.90","12.88","10.23","55.72","1.55","1.38","52.94","23.61","19.85","54.32","1.53","0.84","64.52","40.02","33.54","54.40","0.75","0.58","56.25","10.14","91.49","1.016","7.13","13.39","9.02","36.1","44.13","19.49","20.87","20.92","48.22"
"453","Curtis Lazar","BOS, BUF","C","50","554.4","11.088","46.54","52.6","46.94","37.55","40.48","48.13","27.16","29","48.36","1.52","2.16","41.18","2.29","2.06","52.62","22.4","22.51","49.88","9.85","8.87","52.60","0.87","1.3","40.00","16.74","18.18","47.93","0.43","0.72","37.50","30.17","40.33","42.79","0.47","0.47","50.00","5.58","92.54","0.981","6.71","11.15","11.58","51.41","36.69","13.31","15.26","20.02","39.94"
"157","John Tavares","TOR","C","56","868.18333333333","15.503273809524","58.19","52.59","52.53","43.82","39.39","52.66","31.86","28.2","53.05","3.46","2.28","60.24","3.14","2.37","56.95","34.42","26.95","56.08","14.17","9.74","59.25","2.14","1.04","67.39","27","22.94","54.06","0.92","1.01","47.62","29.95","31.15","49.02","0.8","0.6","57.14","10.85","91.91","1.028","9.95","12.3","6.7","44.16","59.75","20.94","17.07","16.59","55.80"
"541","Frank Vatrano","FLA","C","56","714.5","12.758928571429","57.27","52.57","52.14","43.75","39.8","52.36","31.41","30.82","50.47","2.52","1.93","56.60","2.5","2.26","52.45","24.52","22.67","51.96","9.07","9.74","48.21","1.43","1.34","51.52","20.6","17.24","54.44","0.9","0.34","72.73","41.36","37.6","52.38","0.49","0.49","50.00","8.02","93.73","1.018","8.65","14.28","8.57","44.34","50.24","17.63","20.66","18.39","48.95"
"597","Ivan Provorov","PHI","D","56","1106.0833333333","19.751488095238","53.43","52.56","50.41","39.82","39.82","50.00","28.59","29.02","49.62","3.09","2.77","52.78","2.36","2.4","49.66","24.19","24.57","49.61","9.49","9.66","49.58","1.57","1.46","51.79","19.6","19.89","49.63","1.16","0.72","61.54","36.59","35.81","50.54","0.55","0.94","36.84","10.82","90.47","1.013","7.92","14.32","8.57","43.34","48.03","15.41","20.67","18.71","45.15"
"268","Sean Kuraly","BOS","C","47","570.11666666667","12.130141843972","49.67","52.52","48.61","39.78","39.78","50.00","29.57","27.57","51.75","1.58","2.84","35.71","2","2.14","48.26","22.1","25.26","46.67","7.89","9.68","44.91","0.63","1.79","26.09","18.94","20.77","47.70","0.84","1.12","42.86","34.96","35.12","49.89","0.46","0.3","60.00","5.34","89.69","0.950","3.37","12.1","13.68","47.25","19.75","6.95","16.73","23.78","22.60"
"409","Jake Guentzel","PIT","L","56","961.51666666667","17.16994047619","55.66","52.48","51.47","42.43","41.12","50.78","30.95","30.58","50.30","3.43","2.87","54.46","2.73","2.8","49.35","27.96","25.33","52.46","11.23","11.48","49.45","1.93","1.5","56.36","22.3","18.47","54.69","1.08","1","52.00","35.96","33.71","51.62","0.63","0.63","50.00","11.09","90.61","1.017","15.29","18.6","6.12","39.62","71.43","26.08","23.53","16.16","61.74"
"71","Nicklas Backstrom","WSH","C","55","834.93333333333","15.180606060606","52.1","52.46","49.83","38.59","39.74","49.27","27.81","27.6","50.19","3.45","3.02","53.33","2.14","2.43","46.82","22.35","22.35","50.00","7.55","8.84","46.05","1.8","1.51","54.35","19.74","18.01","52.28","1.34","0.96","58.33","38.72","35.92","51.88","0.83","0.83","50.00","12.40","89.06","1.015","12","15.45","5.96","42.04","66.80","18.25","21.2","13.15","58.12"
"225","Chris Wagner","BOS","R","41","412.91666666667","10.071138211382","44.03","52.46","45.63","33.86","38.8","46.60","24.99","26.3","48.73","1.31","2.76","32.14","1.79","2.11","45.92","18.89","23.39","44.67","5.96","9.01","39.81","0.29","1.89","13.33","17.24","19.18","47.34","0.77","0.97","44.44","31.69","37.78","45.62","0.63","0.21","75.00","5.23","89.50","0.947","3.92","11.92","15.4","51.73","20.30","7.7","17.15","23.69","24.54"
"646","Adam Fox","NYR","D","55","1009.95","18.362727272727","51.98","52.46","49.77","39.57","39.03","50.34","28.58","27.68","50.79","3.09","2.32","57.14","2.51","2.2","53.35","25.37","24.3","51.08","9.8","8.61","53.23","1.49","1.07","58.14","20.75","20.91","49.81","1.19","0.95","55.56","32.35","35.7","47.54","0.86","0.6","58.82","10.81","91.63","1.024","7.66","14.67","8.97","42.42","46.07","18.06","19.96","18.48","49.43"
"664","Kieffer Bellows","NYI","L","14","142.96666666667","10.211904761905","53.3","52.46","50.40","37.77","39.03","49.18","27.28","31.06","46.76","2.1","2.1","50.00","1.87","2.69","41.02","24.76","18.47","57.28","9.65","8.81","52.27","1.68","2.1","44.44","20.14","12.87","61.02","0","0","-","36.98","43.04","46.21","0.61","0","100.00","7.69","93.24","1.009","13.01","7.13","5.46","53.3","70.45","23.92","11.75","13.01","64.77"
"830","Ty Dellandrea","DAL","C","26","277.96666666667","10.691025641026","50.73","52.45","49.16","36.26","39.72","47.73","27.63","27.2","50.39","2.16","1.94","52.63","1.76","2.15","44.99","20.94","22.66","48.02","8.85","7.77","53.25","1.08","1.08","50.00","16.12","19.86","44.80","0.86","0.58","60.00","35.54","35.54","50.00","0.62","0.62","50.00","7.81","92.86","1.007","8.85","14.03","9.5","55.91","48.24","13.38","17.48","19","41.33"
"198","Radko Gudas","FLA","D","54","835.55","15.473148148148","57.73","52.42","52.41","45.6","39.78","53.41","35.55","30.88","53.51","2.87","2.51","53.33","2.73","2.24","54.93","26.35","23.41","52.96","10.84","8.4","56.34","1.65","1.44","53.49","20.68","20.01","50.82","0.96","0.86","52.63","37.55","35.89","51.13","0.52","0.62","45.45","8.08","91.86","0.999","8.26","14.51","8.4","48.69","49.57","16.8","20.39","18.38","47.76"
