"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"703","Nick Suzuki","MTL","C","56","132.68333333333","174","22","88.78","139","18","88.54","108","17","86.40","20","1","95.24","12.02","0.83","93.54","80","9","89.89","30","4","88.24","8","1","88.89","50","5","90.91","4","0","100.00","89","3","96.74","8","0","100.00","18.52","94.12","1.126","80","16","0","30","100.00","125","27","2","98.43"
"201","Evgeny Kuznetsov","WSH","C","41","100.4","158","20","88.76","130","19","87.25","95","12","88.79","15","5","75.00","11.59","2.4","82.82","75","10","88.24","24","5","82.76","5","2","71.43","51","5","91.07","6","0","100.00","76","5","93.83","4","1","80.00","15.79","58.33","0.741","47","11","0","29","100.00","87","19","2","97.75"
"808","Jack Hughes","N.J","C","56","165.43333333333","251","32","88.69","187","31","85.78","132","26","83.54","13","3","81.25","17.43","3.34","83.91","120","21","85.11","42","11","79.25","6","2","75.00","78","10","88.64","3","0","100.00","128","3","97.71","4","0","100.00","9.85","88.46","0.983","72","15","2","28","97.30","157","25","6","96.32"
"56","Brad Marchand","BOS","C, L","53","170.35","305","39","88.66","227","35","86.64","152","30","83.52","28","4","87.50","21.15","2.41","89.76","170","19","89.95","73","15","82.95","15","3","83.33","97","4","96.04","6","1","85.71","133","9","93.66","7","0","100.00","18.42","86.67","1.051","82","14","0","17","100.00","160","26","7","95.81"
"335","Chandler Stephenson","VGK","C","51","107.38333333333","172","22","88.66","140","17","89.17","107","14","88.43","13","1","92.86","11.15","1.12","90.89","82","8","91.11","33","4","89.19","7","0","100.00","49","4","92.45","0","0","-","84","7","92.31","6","1","85.71","12.15","92.86","1.050","64","15","0","42","100.00","96","23","5","95.05"
"208","Nick Bjugstad","MIN","C","44","41.133333333333","78","10","88.64","64","9","87.67","43","8","84.31","1","0","100.00","5.4","0.21","96.19","33","1","97.06","14","1","93.33","1","0","100.00","19","0","100.00","0","0","-","44","4","91.67","0","0","-","2.33","100.00","1.023","29","6","0","11","100.00","47","8","1","97.92"
"390","Mattias Janmark","CHI, VGK","C","56","100.65","156","20","88.64","117","17","87.31","93","12","88.57","17","2","89.47","10.26","0.97","91.34","85","9","90.43","41","3","93.18","13","0","100.00","44","6","88.00","2","1","66.67","63","7","90.00","2","1","66.67","18.28","83.33","1.016","36","9","3","77","92.31","74","16","7","91.36"
"110","Drew Doughty","L.A","D","56","184","343","44","88.63","250","42","85.62","180","39","82.19","27","1","96.43","22.97","2.99","88.48","152","16","90.48","66","9","88.00","11","1","91.67","86","7","92.47","8","0","100.00","185","6","96.86","8","0","100.00","15.00","97.44","1.124","96","15","1","29","98.97","181","22","4","97.84"
"363","Nikita Gusev","FLA, N.J","L","31","79.833333333333","109","14","88.62","87","12","87.88","63","10","86.30","5","2","71.43","7.37","0.98","88.25","55","7","88.71","19","6","76.00","3","2","60.00","36","1","97.30","2","0","100.00","54","4","93.10","0","0","-","7.94","80.00","0.879","33","7","1","27","97.06","60","11","4","93.75"
"768","Rasmus Dahlin","BUF","D","56","170.63333333333","249","32","88.61","196","31","86.34","140","25","84.85","21","4","84.00","18.15","2.62","87.39","114","12","90.48","52","10","83.87","9","2","81.82","62","2","96.88","7","0","100.00","133","8","94.33","5","0","100.00","15.00","84.00","0.990","84","16","1","12","98.82","163","24","3","98.19"
