"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"437","Will Butcher","N.J","D","56","74","1.3214285714286","0","0.81","0","0.81","0.81","33.33","4.86","0.00","0.37","12.16","8.11","2.43","0.81","0","0.81","0","0","0","0","0","0","3.24","0","0","0","1.62","0","0","-"
"751","Emil Bemstrom","CBJ","C","56","74","1.3214285714286","4.05","2.43","1.62","0.81","6.49","72.73","16.22","25.00","1.55","19.46","17.84","8.11","2.43","0","1.62","0","0","0","0","0","0","0.81","0","0.81","3.24","0","0","0","-"
"46","Carl Soderberg","ARI","C","70","150.53333333333","2.1504761904762","2.39","1.99","1.2","0.8","4.38","52.38","6.78","35.29","1.18","11.56","10.76","9.17","5.58","0","0.4","1.59","0.8","0.8","0","0","0","0.8","0.8","0","1.99","0","11.16","9.17","21.88"
"531","Brendan Lemieux","NYR","L","59","74.633333333333","1.2649717514124","1.61","2.41","1.61","0.8","4.02","55.56","6.43","25.00","1.28","10.45","9.65","10.45","7.24","0","0.8","0","0","0","0","0","0","1.61","0","4.02","9.65","0","0.8","2.41","20.10"
"153","Tyler Ennis","EDM, OTT","C, R","70","151.1","2.1585714285714","1.99","1.99","1.19","0.79","3.97","71.43","12.31","16.13","1.82","23.83","17.47","13.1","6.75","0.4","1.59","0.79","0.4","0.4","0","0","0.4","1.19","0.4","0.79","5.56","0.4","0","0","-"
"693","Alex Nylander","CHI","L","65","76.35","1.1746153846154","0","1.57","0.79","0.79","1.57","66.67","3.14","0.00","0.53","5.5","4.72","4.72","1.57","0","0.79","1.57","0.79","0.79","0","0","0.79","0","0.79","1.57","2.36","0","1.57","1.57","39.29"
"97","Jonathan Toews","CHI","C","70","231.53333333333","3.307619047619","0.26","1.81","1.04","0.78","2.07","33.33","9.85","2.63","1.67","18.14","13.99","12.96","8.03","0","1.55","2.59","1.04","1.04","0","0","0","1.55","0.52","0.26","3.11","0","45.87","25.66","16.62"
"224","Anders Lee","NYI","C, L","68","155.46666666667","2.2862745098039","0.77","1.93","1.16","0.77","2.7","58.33","10.81","7.14","1.86","17.37","14.67","16.6","11.58","0","1.93","0.77","0.39","0.39","0","0","0","3.09","0.77","0.77","3.47","0","5.4","7.33","16.37"
"337","Mark Scheifele","WPG","C","71","233.63333333333","3.2906103286385","2.57","2.57","1.8","0.77","5.14","57.14","15.41","16.67","2.27","24.4","20.55","19","6.16","0","2.05","0.51","0.26","0.26","0","0","0","0.77","1.28","0.51","2.31","0.26","27.99","27.48","12.96"
"525","Robby Fabbri","DET, STL","C","61","155.3","2.5459016393443","2.32","1.16","0.39","0.77","3.48","60.00","8.89","26.09","0.98","14.29","11.2","7.73","2.32","0","0.77","0","0","0","0","0","0","4.25","0","2.7","4.64","0.39","0.77","2.32","9.66"
"569","Kyle Connor","WPG","L","71","233.03333333333","3.2821596244131","2.32","2.06","1.29","0.77","4.38","51.52","14.16","16.36","2.53","18.28","16.99","15.96","11.84","0","1.54","1.03","0.51","0.51","0","0","0.26","1.03","1.29","0.51","1.29","0","0","0","-"
"721","Nico Hischier","N.J","C","58","156.76666666667","2.7028735632184","0.77","3.06","2.3","0.77","3.83","66.67","10.72","7.14","2.14","17.22","15.31","14.16","9.57","0","2.68","0","0","0","0","0","0.38","1.53","0","0.38","4.98","0","31.38","24.5","21.50"
"248","Justin Faulk","STL","D","69","78.733333333333","1.1410628019324","0.76","1.52","0.76","0.76","2.29","50.00","11.43","6.67","1.06","24.39","16.77","6.86","2.29","0","2.29","0","0","0","0","0","0","1.52","0.76","0.76","2.29","0.76","0","0","-"
"89","Jordan Staal","CAR","C","68","80.133333333333","1.178431372549","1.5","0.75","0","0.75","2.25","37.50","7.49","20.00","1.47","12.73","11.98","11.23","7.49","0","1.5","3","1.5","1.5","0","0","0","2.25","0","0.75","0","0","40.43","16.47","53.20"
"163","Adam Henrique","ANA","C","71","165","2.3239436619718","1.82","1.45","0.73","0.73","3.27","69.23","12.36","14.71","2.12","18.18","15.64","14.55","9.45","0","1.82","0","0","0","0","0","0.36","1.09","0.73","2.18","1.45","0.36","31.27","15.64","24.24"
